"NBa7we src","d4r55","rsqaWe","wiI7pd"
"https://lh3.googleusercontent.com/a/ACg8ocJbAf3EjhjUZ4N9b1crwCin-NJxLICCKjmigrSZKLQKTH-b25Y=w36-h36-p-rp-mo-br100","Paige P","3 months ago","Amazing, affordable and quick service. I posted an ad that I needed junk temoved and he reached out immediately with same day service
Highly recommend"
"https://lh3.googleusercontent.com/a/ACg8ocIIYsnHKb5tnKPudDRKtvzAdq_6kWSKZ656gYJAKk1o3NZLzA=w36-h36-p-rp-mo-br100","LISA Coste","3 months ago","Amazing job. Arrived early, was very professional and polite. Got a big job done quickly. I would highly recommend!!!"
"https://lh3.googleusercontent.com/a/ACg8ocL3g7IPNU--tt0Is3hzWD3SuLYl8kztU2sEoQd932nItMRE90um=w36-h36-p-rp-mo-ba12-br100","Roy Collins","4 months ago","Chris was communicated well, provided a quote on a timely basis, arrived on time and completed the task and more... I highly recommend Chris and Southwest Hauling and Junk Removal!!!"
"https://lh3.googleusercontent.com/a/ACg8ocKMQ7ZqcOU2vhb3FL8pZzs-htkemgbdnNQW0etCy-GAUNiGkA=w36-h36-p-rp-mo-br100","Big Z","4 months ago","recently used Southwest Hauling to remove a bunch of debris from my property in the Phoenix area, and the entire experience was absolutely fantastic from start to finish. …"
"https://lh3.googleusercontent.com/a-/ALV-UjXj0xi4F5dJO8StrWJSRPp4a9_J5b6XWapm59d7DczwZFdpOQop=w36-h36-p-rp-mo-ba12-br100","Sergio Torres","4 months ago","Had him take out some old furniture and a bunch of junk.  Great service and great price overall.  RECOMEND!"
"https://lh3.googleusercontent.com/a/ACg8ocKpTsd6HdzDXEricRuDPhoDQCgOcHxkTvH9CCynZ-H-6Ocsrg=w36-h36-p-rp-mo-br100","Keeleigh Hagar","4 months ago","I had to have my water heater replaced due to a leak and the plumber that did the replacement said he was going to have someone come get the old one that he left outside in my driveway. A few days had passed and nothing. I posted on ND …"
"https://lh3.googleusercontent.com/a-/ALV-UjX9fKZYfXkocUMLtrHFoWflJLXMLcubkRCEItP5ximvt6nsID-A=w36-h36-p-rp-mo-br100","Richard A. Powell II","4 months ago","Received a bid to have an old gas griddle and some boxes and moving materials hauled away. Gave me a fair price, showed up on time, and made quick work. Highly recommend."
"https://lh3.googleusercontent.com/a/ACg8ocJv1hhLO4Esz4jtDDxPQEybNaXM42-9piPYCQXl62Ras1MFytM=w36-h36-p-rp-mo-br100","Sam White","4 months ago","Chris was proffesional, quick responsive and fairly priced for my same day pick up of my massive refrigerator that bulk pick up denied. Would use again absolutely"
"https://lh3.googleusercontent.com/a-/ALV-UjXb9uhEFzaR-5r5cJSOVd8OZ3mbh3BLlUGkOpwvq8C09GGyrQG9=w36-h36-p-rp-mo-ba12-br100","faith weissenberger","4 months ago","Great guy..Did a perfect job hauling my stuff out. Super appreciated his help and professionalism."
"https://lh3.googleusercontent.com/a-/ALV-UjVo39x4r_JtSoVGdTRj7_J271Ru9lL4jZ1fT26UtLqDV-efWAHP=w36-h36-p-rp-mo-ba12-br100","Ryan Walker","4 months ago","If you're in need of junk removal Chris is your go-to guy, excellent customer & reliable."
